filial;produto;armazem;quantidade;custo_unitario
01;04000026;02;160;17,9987
01;04000026;26;1;17,9769
01;04000030;01;7;47,4466
01;04000030;02;150;47,4466
01;05000006;01;297;17,4904
01;05000006;12;85;15,8987
01;05000007;01;383;7,8556
01;05000008;01;11;51,9175
01;05000009;01;45;63,7987
01;05000011;01;5;184,2755
01;05000011;02;30;184,2755
01;05000013;01;7;49,4671
01;05000016;01;39;62,1168
01;05000017;01;53;79,3076
01;05000017;02;238;79,3076
01;05000018;02;30;123,9825
01;07000001;01;10;0,2309
01;07000002;01;6975;0,2242
01;07000003;01;443,7;5,4249
01;07000003;02;2567,625;4,5111
01;07000003;12;-25;18,726
01;07000010;01;4085;0,3547
01;07000013;01;15;0,7431
01;07000014;01;22;0,2548
01;07000015;01;1533;0,2149
01;07000016;01;382;0,1572
01;07000016;02;33500;0,1575
01;07000016;12;-1000;0,1437
01;07000017;01;1717;0,0909
01;07000017;02;3000;0,0909
01;07000018;01;266;0,2826
01;07000018;02;16000;0,2823
01;07000018;12;4000;0,325
01;07000021;01;1385;0,1952
01;07000021;02;4400;0,1956
01;07000022;01;79;0,4563
01;07000022;02;3000;0,4528
01;07000023;01;77;0,5801
01;07000024;01;70;0,8941
01;07000024;02;4400;0,894
01;07000059;01;4630;0,1751
01;07000059;02;40000;0,1751
01;07000059;04;98;0,1744
01;07000059;12;100;0,1708
01;07000060;01;150;0,1478
01;07000060;02;4000;0,1555
01;07000060;12;550;0,1175
01;07000061;01;2824;0,2496
01;07000061;12;700;0,2457
01;07000063;01;43;2,6246
01;07000063;02;915;2,613
01;07000063;12;2;2,3782
01;07000074;01;18;2,9338
01;07000074;02;427;2,9478
01;07000074;26;1;2,9478
01;07000075;01;13;0,3875
01;07000075;02;300;0,3876
01;07000075;26;1;0,3876
01;07000076;01;59;0,078
01;07000076;02;250;0,0781
01;07000076;26;1;0,0781
01;07000077;01;94;0,0631
01;07000077;02;200;0,0631
01;07000078;01;43;1,2003
01;07000078;02;651;1,2004
01;07000078;26;1;1,2004
01;07000079;01;13;0,1489
01;07000079;02;1300;0,1489
01;07000080;01;79;0,1314
01;07000080;26;1;0,1315
01;07000081;01;116;0,7397
01;07000081;02;450;0,7397
01;07000081;26;1;0,7397
01;07000083;01;44;1,6414
01;07000083;02;348;1,6415
01;07000092;01;5,79;15,7844
01;07000092;02;95;15,7844
01;07000093;01;13,814;35,2214
01;07000093;12;-0,2;33,0391
01;07000150;01;115;0,3628
01;07000150;02;5400;0,3613
01;07000151;01;6;0,3094
01;07000151;04;18;0,3085
01;07000151;12;1780;0,8697
01;07000256;26;1;6,7953
01;07000256;50;868;6,7953
01;07000257;01;1739;0,1627
01;07000257;02;5000;0,1627
01;07000257;12;250;0,1589
01;07000258;01;116;2,2161
01;07000260;01;274;0,3688
01;07000260;02;5350;0,3684
01;07000260;12;42;0,4094
01;07000262;01;60;0,6548
01;07000262;02;3840;0,6546
01;07000262;12;10;0,7351
01;07000262;26;10;0,6547
01;07000262;50;320;0,6546
01;07000263;12;70;1,416
01;07000263;24;30;1,4196
01;07000263;26;10;1,4196
01;07000264;01;10;0,328
01;08000027;01;1;4,3074
01;08000027;12;20;4,2977
01;09000001;01;127;58,8865
01;09000001;02;312;59,4104
01;09000001;12;50;57,405
01;09000001;24;4;58,8778
01;09000002;01;71;35,1978
01;09000002;02;1298,8592;35,2228
01;09000002;12;-143,9951;405615,754
01;09000003;01;62;42,7852
01;09000003;02;1317;42,743
01;09000005;01;9;94,1957
01;09000005;02;339;92,5096
01;09000005;12;-20;83,1771
01;09000010;01;69;53,7744
01;09000010;02;256;53,7682
01;09000012;24;1;39,5038
01;09000013;01;38;58,9599
01;09000013;02;591;59,1228
01;09000013;12;-4;102,4013
01;09000014;01;59;66,5403
01;09000015;01;19;60,6367
01;09000015;24;1;60,6367
01;09000016;01;53;86,2442
01;09000016;02;234;86,2442
01;09000017;01;363;13,8984
01;09000017;02;2429;13,9005
01;09000021;01;2;68,5193
01;09000021;12;-8,0021;36207,4081
01;09000021;24;1;65,911
01;09000023;01;25;108,3146
01;09000023;12;-27;1328,8698
01;09000023;24;1;95,1243
01;09000024;01;19;173,4846
01;09000024;12;4;173,4848
01;09000025;12;62,6261;175,1645
01;09000029;01;37;128,5647
01;09000029;12;-1;137,3395
01;09000034;12;-60;226,7197
01;09000040;05;59,136;296,9365
01;09000041;01;145;22,6287
01;09000041;02;1511;22,5832
01;09000041;11;1;21,8463
01;09000041;24;10;22,368
01;09000042;01;186;24,778
01;09000042;02;845;25,4915
01;09000042;12;46,8824;37653,1657
01;09000054;01;103;16,6338
01;09000054;02;1781;16,5237
01;09000054;12;-74;454,233
01;09000055;01;106;17,7586
01;09000055;02;3757;21,5036
01;09000057;01;92;27,1141
01;09000057;24;3;27,0773
01;09000058;01;23;14,3217
01;09000060;01;57;67,4417
01;09000061;01;24;29,9382
01;09000062;01;87;25,6808
01;09000063;01;58;32,6655
01;09000063;02;90;32,6655
01;09000064;01;4;97,4861
01;09000064;02;36;97,4861
01;09000067;01;96;9,8757
01;09000067;02;236;9,8758
01;09000068;01;77;11,847
01;09000068;02;164;11,847
01;09000078;12;2;30,1244
01;09000080;01;29;49,0597
01;09000081;01;55;42,8709
01;09000081;02;1802;40,6117
01;09000081;12;-36;40034,1522
01;09000083;01;70;49,5125
01;09000083;02;372;49,5125
01;09000084;01;112;33,5109
01;09000084;12;2;845,7623
01;09000085;12;-30;49,5898
01;09000086;01;75;59,9813
01;09000086;02;202;59,9813
01;09000088;01;1;98,5856
01;09000090;01;1;75,0186
01;09000090;02;131;76,0114
01;09000090;12;230;88,5154
01;09000090;24;4;76,0114
01;09000098;12;-659,4;4,1186
01;09000100;12;-1476;38,6525
01;09000102;01;53;54,9896
01;09000102;02;424;54,9896
01;14000101;24;1;16,0975
01;14000103;01;314;2,9467
01;14000103;02;300;2,9468
01;14000103;26;1;2,9468
01;14000103;50;119;2,9467
01;14000105;01;4;20,0858
01;14000105;02;90;20,0858
01;14000105;26;1;20,0858
01;14000105;50;10;20,0858
01;14000106;26;1;16,0194
01;14000106;50;267;16,0192
01;14000107;01;48;25,3419
01;14000107;05;10;25,3416
01;14000107;26;1;25,3416
01;14000107;50;416;25,3416
01;14000108;01;8;27,63
01;14000108;02;210;27,63
01;14000108;26;1;27,6301
01;14000108;50;80;27,63
01;14000109;02;500;4,5494
01;14000109;26;1;4,5494
01;14000109;50;186;4,5491
01;14000110;01;260;10,1506
01;14000110;02;700;10,1498
01;14000110;26;1;10,1496
01;14000110;50;600;10,1498
01;14000119;01;145;5,4734
01;14000119;11;1;5,3009
01;14000119;26;1;5,3183
01;14000120;01;60;9,066
01;14000120;02;100;9,066
01;14000120;26;1;9,0811
01;14000121;01;70;7,9548
01;14000121;02;350;7,9522
01;14000121;26;1;7,9522
01;14000121;50;30;7,9548
01;14000122;01;1;14,223
01;14000122;02;20;14,2232
01;14000122;26;1;14,2231
01;14000122;50;360;14,223
01;14000123;01;19;17,6681
01;14000123;02;30;17,6681
01;14000123;26;1;17,6681
01;14000129;26;1;5,1954
01;14000130;26;1;7,4825
01;14000131;01;28;7,9456
01;14000131;26;1;7,9631
01;14000134;26;1;21,2187
01;14000177;01;497;3,2478
01;14000177;02;1000;3,2478
01;14000177;11;3;3,2481
01;14000206;01;4;58,9947
01;14000206;02;60;58,9948
01;14000206;11;2;58,9947
01;14000206;26;1;58,9947
01;14000215;01;47;35,2072
01;14000215;24;1;35,2641
01;14000215;26;1;35,2641
01;14000243;01;3;30,6084
01;14000243;02;25;30,6084
01;14000268;01;164;4,5812
01;14000268;02;190;4,582
01;14000268;26;1;4,582
01;14000269;01;1;14,2031
01;14000269;26;1;13,6334
01;14000270;01;139;4,0424
01;14000270;02;300;4,0426
01;14000270;26;1;4,0425
01;14000271;01;1;49,7334
01;14000271;02;50;49,7333
01;14000271;26;1;49,7333
01;14000272;12;52;2,2156
01;14000272;26;1;2,136
01;14000273;01;532;2,0937
01;14000273;12;9;2,1058
01;14000273;26;1;2,0939
01;14000276;01;2;27,5571
01;14000276;02;15;27,4676
01;14000277;26;1;22,7562
01;14000277;50;269;22,7561
01;14000283;26;1;7,9274
01;14000284;02;11;12,4688
01;14000284;26;1;12,4688
01;14000285;02;14;20,9045
01;14000285;26;1;20,9045
01;14000286;02;6;20,9043
01;14000286;26;1;20,9043
01;14000287;02;14;13,7167
01;14000289;11;13;4,4061
01;14000289;26;1;4,4061
01;14000289;50;237;4,4061
01;14000290;11;5;7,7502
01;14000290;26;1;7,7503
01;14000290;50;643;7,7503
01;14000291;02;300;2,6995
01;14000291;26;1;2,6995
01;14000291;50;326;2,6995
01;14000292;26;1;5,4047
01;14000292;50;594;5,4046
01;14000293;01;210;9,5323
01;14000293;02;500;9,5301
01;14000293;12;2;9,541
01;14000293;26;1;9,5315
01;14000300;01;11;21,9218
01;14000300;02;95;21,9218
01;14000300;26;1;21,9218
01;14000300;50;30;21,9217
01;14000301;01;1;23,8994
01;14000301;02;140;23,899
01;14000301;26;1;23,899
01;14000302;02;55;17,1202
01;14000302;26;1;17,12
01;14000302;50;184;17,1199
01;14000303;01;39;16,7101
01;14000303;02;115;16,7101
01;14000303;26;1;16,7101
01;14000304;01;18;17,5569
01;14000304;02;125;17,557
01;14000304;26;1;17,557
01;14000305;01;6;23,3738
01;14000305;02;80;23,3738
01;14000305;26;1;23,3738
01;14000306;01;166;5,5708
01;14000306;02;150;5,5617
01;14000306;26;1;5,567
01;14000308;01;77;2,1482
01;14000308;02;650;2,1508
01;14000308;26;1;2,1508
01;14000309;26;1;3,53
01;14000309;50;263;3,53
01;14000311;01;167;4,9462
01;14000311;02;200;4,9443
01;14000311;12;2;4,9643
01;14000311;26;1;4,9451
01;14000311;50;400;4,9443
01;14000312;01;2;9,6676
01;14000313;12;7;1,1821
01;14000313;26;1;1,1738
01;14000314;01;77;2,9594
01;14000314;02;4550;2,9593
01;14000314;11;1;2,9641
01;14000316;01;6;3,2839
01;14000316;11;2;3,2839
01;14000316;26;1;3,2839
01;14000317;26;1;3,3203
01;14000318;01;6;10,9889
01;14000318;02;150;10,9889
01;14000318;26;1;10,9889
01;14000319;01;29;9,8248
01;14000319;02;50;9,827
01;14000319;26;1;9,8269
01;14000320;01;48;11,0972
01;14000320;02;50;11,0972
01;14000320;26;1;11,0972
01;14000321;01;15;22,0475
01;14000321;02;200;22,0474
01;14000322;01;30;17,7412
01;14000322;02;170;17,7412
01;15000010;01;9;96,2677
01;15000010;02;170;96,0266
01;15000011;01;2;13,8124
01;15000011;02;450;13,82
01;15000011;12;20;14,0075
01;15000012;01;36;6,4017
01;15000012;02;310;6,4017
01;15000013;01;74;1,7913
01;15000013;02;150;1,7913
01;15000014;01;34;50,0717
01;15000014;02;755;50,0717
01;15000015;01;9;11,4106
01;15000015;02;100;11,413
01;15000016;01;40;7,388
01;15000016;02;350;7,388
01;15000017;01;13;28,4301
01;15000017;02;210;28,4308
01;15000017;12;8;28,418
01;15000018;01;12;37,1094
01;15000018;02;78;37,1094
01;15000124;01;299;9,7726
01;15000125;01;167;12,8283
01;15000126;01;155;16,5055
01;15000127;01;168;20,7524
01;15000128;01;6;23,5304
01;15000129;01;108;37,8978
01;36000001;01;48;3,5708
01;36000001;02;50;3,5708
01;36000001;26;1;3,5708
01;36000357;02;2;2,26
01;36001097;01;10;541,6464
01;36001097;26;1;541,6463
01;36001108;01;21;352,5288
01;36001108;26;1;352,5288
01;36001109;01;9;416,9157
01;36001109;26;1;416,9158
01;38000034;01;2381;1,582
01;39000016;50;342,5;7,95
01;39000017;50;1360;11,385
01;39000018;50;1100;18,6479
01;39000020;50;1620;18,2323
01;39000021;12;18;18,2649
01;39000021;50;1470;18,5066
01;39000022;01;980;20,7418
01;39000022;02;1120;22,709
01;39000022;12;221;18,3964
01;39000022;50;1;21,7303
01;39000023;50;1980;16,9459
01;39000025;02;1980;24,3989
01;39000025;12;21;18,9249
01;39000025;50;252;24,6127
01;39000026;02;1625;15,6328
01;39000026;50;800;15,5638
01;39000027;12;15;25,0723
01;39000029;01;51;12,7299
01;39000029;02;3730;12,7299
01;39000029;12;3;11,8127
01;39000029;50;8;13,4134
01;39000030;01;68;12,6198
01;39000030;02;1840;12,6198
01;39000030;12;8;11,5861
01;39000030;50;675;12,6199
01;39000031;02;50;30,5906
01;39000034;01;9;26,8123
01;39000034;02;25;26,8123
01;39000035;01;11;38,1571
01;39000035;02;50;38,1571
01;39000036;01;38;30,1355
01;39000037;02;47;43,7834
01;39000039;02;1;11,16
01;39000040;01;7;44,8926
01;39000040;02;50;44,8926
01;39000055;50;10,8;12,8864
01;39000056;11;36;13,4867
01;39000056;50;900;13,4867
01;39000057;50;684;10,6352
01;39000058;50;1075;11,4778
01;39000061;50;1494;15,1156
01;39000062;50;1692;15,9765
01;39000071;01;185;9,6935
01;39000071;02;340;9,6795
01;39000072;02;198;11,8421
01;39000073;02;300;11,3552
01;39000073;12;25;11,3548
01;39000073;24;25;11,3552
01;39000074;50;560;11,8785
01;39000075;50;140;13,4484
01;39000079;50;1008;17,5807
01;39000080;01;997;9,0218
01;39000080;12;6;9,3001
01;39000080;50;3000;9,0055
01;39000081;01;797;8,8421
01;39000081;02;1580;8,8421
01;39000081;12;22;8,7919
01;39000082;01;13;11,4366
01;39000082;02;3991;10,9366
01;39000082;12;9;9,425
01;39000082;50;535,65;10,9243
01;39000083;01;50;11,8975
01;39000083;02;2160;10,3317
01;39000084;01;35;10,5747
01;39000084;02;1120;10,5272
01;39000084;50;5;10,4076
01;39000085;02;1008;10,9385
01;40000001;01;19;20,2119
01;40000001;02;24;20,2119
01;40000007;01;1;45,5603
01;40000007;02;240;45,5605
01;40000007;12;1;46,0162
01;40000009;01;5;33,107
01;40000009;02;20;33,0691
01;40000017;01;7;40,5175
01;40000017;02;40;40,5175
01;40000018;01;8;43,4616
01;40000018;02;40;43,4616
01;40000020;01;8;40,1834
01;40000020;02;40;40,1835
01;40000021;01;12;52,9408
01;40000021;02;40;52,9408
01;40000023;01;14;37,6939
01;40000023;02;40;37,6939
01;40000024;01;34;32,8439
01;40000024;02;10;32,8439
01;40000026;01;11;56,5722
01;40000026;02;30;56,5722
01;40000027;01;27;28,8785
01;40000027;02;30;28,8785
01;40000028;01;9;31,0745
01;40000028;02;40;31,0745
01;40000029;01;12;60,0656
01;40000029;02;30;60,0656
01;40000030;01;21;4,2736
01;40000030;02;425;4,2736
01;40000030;26;1;4,2737
01;40000031;01;9;4,757
01;40000031;02;125;4,7534
01;40000031;26;1;4,7535
01;40000032;01;46;4,9652
01;40000032;02;37;4,7966
01;40000032;26;1;4,9424
01;40000033;01;42;6,7201
01;40000033;02;225;6,7199
01;40000033;26;1;6,7199
01;40000034;01;22;7,0654
01;40000034;02;245;7,0654
01;40000034;26;1;7,0654
01;40000039;01;2;23,5901
01;40000039;02;48;23,5871
01;40000040;01;8;14,3154
01;40000041;01;21;40,8749
01;40000041;02;20;40,8749
01;40000043;01;8;45,9047
01;40000043;02;40;45,9047
01;40000046;01;12;36,2556
01;40000046;02;20;36,2556
01;40000048;01;17;39,9324
01;40000048;02;30;39,9324
01;40000050;01;13;38,2499
01;40000050;02;20;38,2499
01;40000051;01;41;31,4512
01;40000052;01;13;38,326
01;40000052;02;40;38,3261
01;40000055;01;13;115,2142
01;40000055;02;20;115,2142
01;40000057;01;8;65,0722
01;40000057;02;20;65,0722
01;40000059;01;7;59,2714
01;40000059;02;50;59,2714
01;40000064;01;26;32,8098
01;40000064;12;-1;30,8755
01;40000065;01;12;37,3107
01;40000066;01;7;27,0691
01;40000066;02;30;27,0691
01;40000069;01;37;14,4985
01;40000069;26;1;14,5047
01;40000070;01;7;23,5862
01;40000070;02;86;23,5862
01;40000071;01;21;27,5609
01;40000073;01;11;32,1121
01;40000073;02;10;32,1122
01;40000075;01;9;40,9
01;40000075;02;30;40,9
01;40000076;01;14;49,5964
01;40000076;02;10;49,5964
01;41000016;12;4;5,1148
01;41000017;01;91;5,0781
01;41000017;12;5;5,1472
01;41000020;01;7,58;21,4339
01;41000020;02;160;21,4337
01;41000023;26;1;8,5233
01;41000024;26;1;28,7313
01;41000025;26;1;20,767
01;41000026;01;139;0,9319
01;41000026;26;1;0,924
01;41000028;26;1;2,8769
01;41000029;01;616;0,5451
01;41000029;12;16;0,5277
01;41000029;26;1;0,5454
01;41000030;12;6;5,6936
01;41000030;26;1;1,7829
01;41000031;01;3;4,8215
01;41000031;02;250;4,8386
01;41000031;26;1;4,8366
01;41000032;01;59;2,7375
01;41000032;26;1;2,7375
01;41000033;01;19;3,9942
01;41000033;02;216;3,9942
01;41000033;26;1;3,9942
01;41000034;26;1;2,2409
01;41000055;01;56;0,5235
01;41000055;02;500;0,5235
01;41000056;02;500;0,2149
01;41000057;01;1;0,6509
01;41000057;02;500;0,6509
01;41000058;02;500;0,8164
01;41000061;01;404;9,0298
01;41000061;02;2419,5;9,0299
01;41000062;01;5;18,139
01;41000062;02;20;18,139
01;41000063;01;7,2;20,3138
01;41000063;02;60;20,3138
01;41000063;12;2;16,0923
01;41000075;01;6;17,6327
01;41000075;02;70;17,6327
01;41000077;01;3;54,7911
01;41000077;02;40;54,7911
01;41000078;01;10;60,7874
01;41000079;01;7;54,929
01;41000079;02;40;61,5754
01;41000079;12;-4;59,222
01;41000080;01;5;66,9584
01;41000080;02;60;66,9584
01;41000084;01;10;52,8911
01;41000084;02;56;52,8079
01;41000089;01;1;78,8277
01;41000089;02;20;78,5014
01;41000090;01;7;86,3794
01;41000090;02;40;86,3794
01;41000091;26;1;1,4207
01;41000104;01;150;0,0189
01;41000105;01;254;0,0458
01;41000105;02;1250;0,0459
01;41000105;26;1;0,0459
01;41000106;01;46;0,0681
01;41000106;26;1;0,0679
01;41000107;01;5;0,0942
01;41000109;01;56;0,199
01;41000109;02;100;0,2001
01;41000109;26;1;0,2001
01;41000110;01;57;0,388
01;41000110;02;400;0,3879
01;41000111;01;27;0,4519
01;41000111;02;650;0,4517
01;41000112;01;104;0,4981
01;41000112;02;300;0,4981
01;41000113;01;17;0,7534
01;41000113;02;684;0,7541
01;41000113;26;1;0,7541
01;46000129;26;1;5284,6329
01;49000058;01;3;63,1749
01;49000058;02;25;63,1749
01;49000058;26;1;63,1749
01;49000059;01;6;28,68
01;49000059;02;24;28,68
01;49000059;11;1;28,68
01;49000074;02;20;11,588
01;49000074;26;1;11,588
01;49000075;01;4;8,6745
01;49000075;02;34;8,6745
01;50000014;01;23;133,9226
01;50000015;01;236;13,817
01;51000001;01;26;10,336
01;51000001;02;218;10,336
01;51000005;01;37;9,2631
01;51000005;02;320;9,2631
01;51000006;01;3;10,0281
01;51000006;02;360;10,0281
01;51000007;01;22;8,0914
01;51000007;02;460;8,0915
01;51000012;01;44;5,7109
01;51000012;02;520;5,7109
01;51000013;01;9;8,3502
01;51000016;01;40;10,0907
01;51000016;02;280;10,0907
01;51000017;01;183;7,4138
01;51000017;02;1640;7,4078
01;51000017;04;10;7,4215
01;51000017;12;26;7,5894
01;51000018;01;24;7,4057
01;51000018;02;320;7,4067
01;51000019;01;44;8,7965
01;51000019;02;260;8,7978
01;51000020;01;28;8,1297
01;51000020;02;580;8,1298
01;51000021;01;11;7,6143
01;51000021;02;160;7,6154
01;51000021;12;3;11,4989
01;51000022;01;20;7,9442
01;51000022;02;400;7,9442
01;51000024;01;39;15,0684
01;51000024;02;260;15,0684
01;51000026;01;17;6,841
01;51000026;02;240;6,841
01;51000028;01;28;10,4507
01;51000028;02;220;10,4507
01;51000034;01;54;14,51
01;51000034;02;150;14,51
01;51000035;01;74,5;25,62
01;51000036;01;38;22,3319
01;51000036;02;270;22,3324
01;51000036;12;8;22,4069
01;51000039;01;9;9,0057
01;51000039;02;280;9,0057
01;51000039;12;3;9,3449
01;51000040;01;53;9,2741
01;51000040;02;380;9,2742
01;51000044;02;281;6,2838
01;51000046;12;1;4,3781
01;53000001;01;14;18,5782
01;53000001;26;1;18,5782
01;53000003;01;38;6,5972
01;53000003;02;150;6,5973
01;53000003;26;1;6,5973
01;53000004;01;27;11,0721
01;53000004;26;1;11,0722
01;54000001;01;318;4,1257
01;54000002;01;28;8,0315
01;54000002;02;400;8,0315
01;54000002;26;1;8,0315
01;54000003;01;48;8,4868
01;54000003;02;250;8,4869
01;54000003;26;1;8,4869
01;54000004;01;62;6,2201
01;54000004;02;302;6,2201
01;54000004;26;1;6,2201
01;54000005;01;40;9,3927
01;54000005;11;5;9,3908
01;54000005;26;1;9,5243
01;54000006;26;1;10,96
01;54000007;01;20;8,3976
01;54000007;02;350;8,3984
01;54000007;26;1;8,3984
01;54000008;01;21;14,262
01;54000008;02;240;14,2624
01;54000008;11;1;14,2558
01;54000008;26;1;14,2621
01;54000009;01;17;10,1422
01;54000009;02;260;10,1422
01;54000009;26;1;10,1422
01;54000010;01;11;18,7777
01;54000010;02;40;18,7725
01;54000010;26;1;18,7725
01;54000013;01;15;15,699
01;54000013;02;240;15,6909
01;54000013;26;1;15,6909
01;54000014;01;9;32,834
01;54000014;02;200;32,8495
01;54000014;12;46;31,7284
01;54000014;26;1;32,8472
01;54000017;01;10;25,101
01;54000017;02;260;25,1009
01;54000017;26;1;25,1009
01;54000018;01;4;66,1739
01;54000018;02;20;66,1655
01;54000018;26;1;66,1655
01;54000019;01;4;46,4209
01;54000019;02;80;46,4209
01;54000020;01;7;84,0478
01;54000020;02;50;84,0478
01;54000022;01;7;17,7681
01;54000022;02;185;17,7627
01;54000022;26;1;17,7627
01;54000023;01;17;13,5923
01;54000023;02;80;13,5923
01;54000023;26;1;13,5923
01;54000025;01;3;86,4902
01;54000025;02;34;87,0847
01;54000025;11;2;86,4902
01;54000025;26;1;87,0085
01;55000006;01;34,12;88,325
01;55000007;01;16,5;56,7414
01;55000007;02;25;56,7383
01;55000008;01;24,37;85,5934
01;55000008;02;25;85,3511
01;55000009;01;10;113,5026
01;55000009;02;50;113,5026
01;55000010;01;17;44,185
01;55000010;12;-65;46,4409
01;55000011;01;14,2;44,1844
01;55000011;02;25;44,1844
01;55000012;01;8;81,6308
01;55000015;01;22;83,1772
01;55000015;02;25;83,1772
01;55000034;01;18,7;61,1344
01;55000035;01;9,35;28,9922
01;55000035;02;75;28,8798
01;55000036;01;40;39,9754
01;55000036;02;25;39,9756
01;55000039;01;7,01;57,8604
01;55000040;01;1,5;34,5968
01;55000040;12;40;34,5967
01;55000041;01;6,46;83,5816
01;55000041;12;6;153,3038
01;55000042;01;3,51;28,979
01;55000043;01;18,6;38,7355
01;55000043;12;20;38,6014
01;55000072;01;24,74;114,9046
01;55000087;01;13,73;158,6946
01;55000087;02;25;160,0257
01;55000087;12;4;148,7815
01;55000088;01;15,17;54,1208
01;55000088;12;17;53,7027
01;55000092;02;25;2
01;55000095;01;33,68;87,1222
